Well-name,X,Y,Latitude,Longitude
WELL-001,878092.64,1159359.79,10.46812019469097,114.4547426997417
WELL-002,881611.95,1168289.77,10.548384762170862,114.4877476148501
WELL-003,881582.12,1166474.57,10.532001222599833,114.48729084127335
WELL-004,881711.03,1141164.98,10.303506567344915,114.48592322662267
WELL-005,889822.31,1161137.18,10.482984653263534,114.56190752296452
WELL-006,888913.08,1146039.74,10.34679539110273,114.55206945824624
WELL-007,881906.84,1150222.33,10.385252585880124,114.4886121995858
WELL-008,879086.5,1147351.99,10.359618726781166,114.46260973544098
WELL-009,885766.4,1153020.9,10.410130766562038,114.52408808231799
WELL-010,898694.5,1157690.08,10.450954040778795,114.64245900734548
WELL-011,896041.8,1151274.31,10.393319711143834,114.6176001359205
WELL-024,878529.43,1174482.94,10.604603795636034,114.4602520701556
WELL-012,883843.31,1131336.9,10.214574296646417,114.50438370893472
WELL-013,882898.28,1128666.84,10.190562844115387,114.49550799272521
WELL-014,897747.37,1130867.2,10.208946889978465,114.63103865760228
WELL-019,890588.61,1120556.59,10.116594894847196,114.5647734175601
WELL-021,892026.73,1124618.14,10.153115122524522,114.57828170820261
WELL-023,890154.76,1124082.08,10.148462018316119,114.56117274616331
WELL-022,892400.59,1125775.73,10.163527107218977,114.58180432988334
WELL-015,896833.52,1129595.17,10.197557898027753,114.62258170780511
WELL-018,890659.49,1120590.02,10.116889660352438,114.56542246382806
WELL-020,889663.34,1120976.52,10.120476889499114,114.55638599627076
